case_id	domain	title	purpose	invariants	oracle	fixture	tolerance	determinism	profiles	cost	lineage
SWAP5-TB-TXN-CHECKPOINT-0001-v1	TRANSACTION	Checkpoint captures immutable committed origin	Checkpoint is a reusable clone of the still-current committed revision, not a second committed state.	3,4,7,8,29,30	FTB04_TXN_CHECKPOINT=PASS	FMR18 current-canonical transaction fixture	EXACT	BIT_IDENTITY_REQUIRED	FAST,CANONICAL,RELEASE,DEEP	SMALL	tests/fmr/test_fmr18_accepted_commit_receipt.f90@fb66574aa09f3d3df13ec5c62865135fdc1bbd22
SWAP5-TB-TXN-COMMIT-0002-v1	TRANSACTION	Accepted candidate commits exactly once	An accepted candidate publishes one physical state transition, increments revision once and is consumed.	3,7,13,26,30	FMR18_REAL_FKT_COMMIT_CREATES_EXACT_RECEIPT=PASS	FMR18 accepted-commit receipt fixture	EXACT	BIT_IDENTITY_REQUIRED	FAST,CANONICAL,RELEASE,DEEP	SMALL	tests/fmr/test_fmr18_accepted_commit_receipt.f90@fb66574aa09f3d3df13ec5c62865135fdc1bbd22
SWAP5-TB-TXN-REJECT-0003-v1	TRANSACTION	Rejected candidate cannot mutate committed state	Failed prevalidation or stale commit leaves committed revision and physical state unchanged.	3,7,8,13,30	FMR18_PREVALIDATION_REJECTION_IS_NONMUTATING_AND_REPLAYABLE=PASS	FMR18 stale/prevalidation rejection fixture	EXACT	BIT_IDENTITY_REQUIRED	FAST,CANONICAL,RELEASE,DEEP	SMALL	tests/fmr/test_fmr18_accepted_commit_receipt.f90@fb66574aa09f3d3df13ec5c62865135fdc1bbd22
SWAP5-TB-TXN-ROLLBACK-0004-v1	TRANSACTION	Explicit candidate rollback discards trial only	Rollback invalidates the candidate without restoring or altering committed state.	3,7,8,30	FTB04_TXN_ROLLBACK=PASS	FMR18 stale sibling rollback fixture	EXACT	BIT_IDENTITY_REQUIRED	FAST,CANONICAL,RELEASE,DEEP	SMALL	tests/fmr/test_fmr18_accepted_commit_receipt.f90@fb66574aa09f3d3df13ec5c62865135fdc1bbd22
SWAP5-TB-TXN-RETRY-0005-v1	TRANSACTION	Retry originates from committed/checkpoint state	A retry after rejection does not inherit rejected physical trial state.	7,8,13,24,26,30	FKT10_GATE_C_TEMPORAL_RETRY_HISTORY=PASS	F-KT10 temporal/solver/mass retry history fixture	EXACT	BIT_IDENTITY_REQUIRED	DEEP	LARGE	tests/fci/run_fci21_vq31_transaction_history_replay.sh
SWAP5-TB-TXN-MULTIREJECT-0006-v1	TRANSACTION	Multiple rejected trials preserve transactional isolation	Repeated reject/retry sequences cannot accumulate physical mutations before acceptance.	7,8,13,24,26,30	FCI35_EXACT_FMQ29_REPLAY_ON_CURRENT_CANONICAL=PASS	F-CI35/F-MQ29 held-out cross-worker restart composition	SEMANTIC_MASS1E-12_INHERITED	NUMERICAL_EQUIVALENCE_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci35_parallel_restart_current_canonical_admission.sh@3c4e92369058b72c4b71e0f94dc51e76ac989db7
SWAP5-TB-TXN-ONCE-0007-v1	TRANSACTION	Commit receipt encodes exactly one accepted revision	Accepted receipt has committed_revision = origin_revision + 1; rejected request has no receipt.	7,13,26,30	FTB04_TXN_COMMIT_EXACTLY_ONCE=PASS	FMR18 receipt and sparse MultiSWAP receipt fixtures	EXACT	BIT_IDENTITY_REQUIRED	FAST,CANONICAL,RELEASE,DEEP	SMALL	tests/fmr/test_fmr18_accepted_commit_receipt.f90@fb66574aa09f3d3df13ec5c62865135fdc1bbd22
SWAP5-TB-TXN-REVISION-0008-v1	TRANSACTION	Committed revision progresses monotonically	Each accepted transaction increments revision by one; rejected transactions do not.	3,7,8,26,30	FTB04_TXN_REVISION_PROGRESSION=PASS	FMR18 accepted/stale candidate fixture	EXACT	BIT_IDENTITY_REQUIRED	FAST,CANONICAL,RELEASE,DEEP	SMALL	tests/fmr/test_fmr18_accepted_commit_receipt.f90@fb66574aa09f3d3df13ec5c62865135fdc1bbd22
SWAP5-TB-TXN-LEDGER-0009-v1	TRANSACTION	Accepted mass ledger provenance follows state revision	Mass origin revision and accepted-transaction count stay aligned with committed publication.	3,7,13,26,30	FMQ26_HARD_MASS_ALL_CASES=PASS	FCI30 independent parallel matrix and per-column mass oracle	MASS1E-12_INHERITED	BIT_IDENTITY_REQUIRED	RELEASE,DEEP	LARGE	tests/fci/run_fci30_parallel_v1_canonical_admission.sh@abf8ef4c14e8fc74b84f74c898d0f8b38a084748
SWAP5-TB-TXN-STALE-0010-v1	TRANSACTION	Stale sibling candidate is fail-closed	Candidate from an older origin revision is rejected with stale-revision status and remains rollback-capable.	7,8,26,30	FMR18_COMMIT_REJECTION_EMITS_NO_RECEIPT=PASS	FMR18 two-candidates-one-winner fixture	EXACT	BIT_IDENTITY_REQUIRED	FAST,CANONICAL,RELEASE,DEEP	SMALL	tests/fmr/test_fmr18_accepted_commit_receipt.f90@fb66574aa09f3d3df13ec5c62865135fdc1bbd22
